temp_c,precp_cm,biome_id,biome
-10.2160020653883,1.60713350246589,6,Tundra
-10.6285727697327,1.69693840132313,6,Tundra
-11.1411645973666,1.84605195213399,6,Tundra
-11.6177623395217,2.02809396585917,6,Tundra
-12.0596052291877,2.24212897480224,6,Tundra
-12.4679888281268,2.48628604357034,6,Tundra
-12.8441711455864,2.75813295615276,6,Tundra
-13.1895416246157,3.05636005777449,6,Tundra
-13.5054333794916,3.3787222259641,6,Tundra
-13.7930293144319,3.72353561886801,6,Tundra
-14.053775201258,4.08967767525052,6,Tundra
-14.2888351679302,4.47415489848305,6,Tundra
-14.4996362100124,4.8754705402513,6,Tundra
-14.6873987842373,5.29194075870172,6,Tundra
-14.8534372286244,5.72094624428429,6,Tundra
-14.9991034337081,6.16248699699902,6,Tundra
-15.1256929612505,6.6126340525209,6,Tundra
-15.234463820499,7.07082613023207,6,Tundra
-15.3268054545028,7.53425682704325,6,Tundra
-15.4039007674795,8.001990675258,6,Tundra
-15.4671955312507,8.47103417824776,6,Tundra
-15.517872650034,8.94101314893394,6,Tundra
-15.5573403431361,9.4087469971487,6,Tundra
-15.5868190672894,9.87348734873487,6,Tundra
-15.607641936771,10.3326148941425,6,Tundra
-15.6211420658577,10.7842586979786,6,Tundra
-15.6286337925693,11.2271091054684,6,Tundra
-15.6313375736381,11.6583597135224,6,Tundra
-15.6306804046283,12.0770750544442,6,Tundra
-15.6279015185298,12.4811970993018,6,Tundra
-15.624221372075,12.8684807256236,6,Tundra
-15.6211420658577,13.2376162786347,6,Tundra
-15.6197526228085,13.4984246723992,6,Tundra
-15.6197526228085,13.5861715423243,6,Tundra
-15.6197526228085,13.964848865839,6,Tundra
-15.5804351397658,15.1020033976187,6,Tundra
-15.4666134672706,16.467973327945,6,Tundra
-15.2845588753022,17.7336611212142,6,Tundra
-15.0406928438989,18.9490207524154,6,Tundra
-14.7413054192973,20.1651287577737,6,Tundra
-14.3926115427043,21.4310036445821,6,Tundra
-14.0010326941582,22.7969735749085,6,Tundra
-13.6795643908278,23.9275798328132,6,Tundra
-13.5727650386087,24.3141150849779,6,Tundra
-13.5137324852724,24.5283371874602,6,Tundra
-13.3357898936794,25.1502361120466,6,Tundra
-13.0706503626165,26.0638138643796,6,Tundra
-12.7796183725679,27.0810414374771,6,Tundra
-12.4648907456521,28.2284861139175,6,Tundra
-12.1287581852747,29.532340989201,6,Tundra
-11.7733987372967,31.0202959071417,6,Tundra
-11.4009528950642,32.7194794309363,6,Tundra
-11.0136925857254,34.6555233754668,6,Tundra
-10.613833407656,36.8559304910083,6,Tundra
-10.2036097354895,39.3467067795215,6,Tundra
-9.78510573379961,42.1551678977422,6,Tundra
-9.36064965850682,45.3088165959453,6,Tundra
-8.93240077921468,48.8329105019345,6,Tundra
-8.50266857558617,52.7553265530635,6,Tundra
-8.07353721219518,57.1030062189892,6,Tundra
-7.75058558452836,60.6746218839571,6,Tundra
-7.64718473490271,61.9015813145941,6,Tundra
-7.42376604783251,64.5515742050396,6,Tundra
-6.76858732133217,72.6310216055619,6,Tundra
-5.89012134156359,83.8845109000696,6,Tundra
-4.99774215504495,95.6968485964243,6,Tundra
-4.30683221066961,104.997455527866,6,Tundra
-4.07740512122421,108.104330841247,6,Tundra
-4.09678221888422,107.333879646468,6,Tundra
-4.1541249090525,105.021590594434,6,Tundra
-4.3147557913019,98.3447834579376,6,Tundra
-4.39412303142676,94.8951527805842,6,Tundra
-4.46996033515619,91.4683475150236,6,Tundra
-4.53977046025301,88.136398673881,6,Tundra
-4.60139413711362,84.9726469245564,6,Tundra
-4.64063651512662,82.7808461118221,6,Tundra
-4.65250310981764,82.0493103732142,6,Tundra
-4.67884619898139,80.4348802227162,6,Tundra
-4.76589292839205,75.6061830672863,6,Tundra
-4.88992888492501,69.3971097790051,6,Tundra
-5.02004834886286,63.4817733474028,6,Tundra
-5.15153847959256,57.9200437050508,6,Tundra
-5.27989297533269,52.7734746263742,6,Tundra
-5.40039899547023,48.102871511641,6,Tundra
-5.50843758067923,43.9669817321868,6,Tundra
-5.57715868284554,41.3139953451127,6,Tundra
-5.59938977163377,40.4290429042904,6,Tundra
-5.62021264111531,39.5974121221646,6,Tundra
-5.69223836458798,37.1270290294336,6,Tundra
-5.8063041284296,33.751300300098,6,Tundra
-5.93706198511982,30.427583574684,6,Tundra
-6.07979909404558,27.279921869738,6,Tundra
-6.22985894336611,24.433293669503,6,Tundra
-6.38249113995353,22.012677458222,6,Tundra
-6.53307672448189,20.1432388136773,6,Tundra
-6.63707841434506,19.1828876765228,6,Tundra
-6.6760203722393,18.9505175007297,6,Tundra
-6.72472598399324,18.670625565958,6,Tundra
-6.86825169573075,17.8279562650143,6,Tundra
-7.03547304433544,16.8361734132597,6,Tundra
-7.18217194357735,15.9695561392874,6,Tundra
-7.30883657614946,15.2101434633259,6,Tundra
-7.4179078555167,14.5450259311645,6,Tundra
-7.51222099654986,13.9721455138711,6,Tundra
-7.59297767972399,13.4677413319563,6,Tundra
-7.66301311990987,13.0306908241845,6,Tundra
-7.72388574647358,12.6406007947734,6,Tundra
-7.77801769662262,12.2918584375444,6,Tundra
-7.82738047738634,11.9704317370513,6,Tundra
-7.8740958058535,11.6664047357117,6,Tundra
-7.92030417537025,11.3616293602149,6,Tundra
