nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,3.307928688824438801e+00,nan,nan,3.956967531626458534e+00,2.972295545400763128e+00,1.677191607631859815e+00,3.681380767887310501e+00,nan
nan,nan,nan,nan,2.368527413047170072e+00,2.775987811312050191e+00,2.259790721342588071e+00,nan,2.999010883707146302e+00,2.201702066809943847e+00
nan,nan,nan,nan,nan,nan,nan,nan,2.551638448747137300e+00,2.959202405756044651e+00
nan,5.299784480690783894e+00,4.909955117367125865e+00,2.674460344738291528e+00,nan,nan,nan,nan,nan,nan
nan,nan,3.577506103583711461e+00,1.093068316472534773e+00,nan,nan,nan,nan,nan,nan
nan,nan,2.713291611770893397e+00,2.324866818560276549e+00,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,3.696134798712209069e+00,2.594014661243960074e+00,1.251577285190048405e+00,nan,nan
nan,nan,nan,nan,nan,2.857831453541525235e+00,2.437961512688762600e+00,nan,3.304575154144804294e+00,1.910999830373451669e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,6.483800499321910049e-01,4.896505483684548410e-01,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,1.393598876355099714e+00,1.106609394723533812e+00
nan,nan,nan,nan,nan,nan,nan,1.651558765719607913e-01,3.617075151214918516e-01,2.505247514122407315e-01
nan,nan,9.268040366494002535e-01,4.063566097104100439e-01,nan,9.710655854227875361e-01,5.776956952982192917e-01,2.737888220099939929e-01,5.657347271470083427e-01,nan
nan,1.997048243509322640e+00,1.286428204723799595e+00,5.009591737162016889e-01,nan,nan,nan,nan,nan,nan
nan,3.635076090745174238e+00,1.759045107258055074e+00,6.427432051064412288e-01,nan,1.239136351677310399e+00,8.651375158584444502e-01,5.450447288914130883e-01,7.358717336328787217e-01,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
